Alpha,Trial,Steps,Pings
0.4,57,101,1
0.4,58,101,2
0.4,59,101,3
0.4,60,48,2
0.4,61,101,0
0.4,62,82,3
0.4,63,101,0
0.4,64,30,2
0.4,65,101,0
0.4,66,44,2
0.4,67,58,8
0.4,68,101,0
0.4,69,101,0
0.4,70,101,0
0.4,71,48,1
0.4,72,34,5
0.4,73,55,3
0.4,74,28,3
0.4,75,82,3
0.4,76,101,3
0.4,77,25,3
0.4,78,20,3
0.4,79,24,3
0.4,80,101,0
0.4,81,75,2
0.4,82,101,0
0.4,83,2,1
0.4,84,101,0
0.4,85,55,2
0.4,86,3,2
0.4,87,11,1
0.4,88,101,2
0.4,89,59,6
0.4,90,5,4
0.4,91,79,7
0.4,92,37,5
0.4,93,31,5
0.4,94,101,1
0.4,95,101,0
0.4,96,101,0
0.4,97,5,4
0.4,98,101,0
0.4,99,92,4
0.4,100,44,6
0.45,1,101,0
0.45,2,77,5
0.45,3,101,0
0.45,4,101,0
0.45,5,101,0
0.45,6,101,0
0.45,7,101,0
0.45,8,39,4
0.45,9,101,0
0.45,10,63,4
0.45,11,38,4
0.45,12,33,3
0.45,13,18,3
0.45,14,101,0
0.45,15,70,1
0.45,16,101,0
0.45,17,94,3
0.45,18,50,2
0.45,19,92,6
0.45,20,48,3
0.45,21,101,2
0.45,22,101,1
0.45,23,40,1
0.45,24,38,3
0.45,25,101,0
0.45,26,47,0
0.45,27,54,4
0.45,28,101,0
0.45,29,101,0
0.45,30,101,0
0.45,31,58,2
0.45,32,27,13
0.45,33,74,3
0.45,34,101,2
0.45,35,101,0
0.45,36,74,3
0.45,37,29,3
0.45,38,101,1
0.45,39,25,3
0.45,40,97,3
0.45,41,95,3
0.45,42,101,1
0.45,43,84,3
0.45,44,38,2
0.45,45,101,4
0.45,46,84,3
0.45,47,38,3
0.45,48,101,0
0.45,49,97,8
0.45,50,101,0
0.45,51,101,0
0.45,52,101,2
0.45,53,101,0
0.45,54,39,6
0.45,55,35,2
0.45,56,101,0
0.45,57,101,0
0.45,58,74,2
0.45,59,50,7
0.45,60,61,1
0.45,61,21,1
0.45,62,99,7
0.45,63,101,0
0.45,64,101,0
0.45,65,88,6
0.45,66,66,1
0.45,67,79,2
0.45,68,101,0
0.45,69,86,4
0.45,70,97,4
0.45,71,46,4
0.45,72,101,0
0.45,73,4,1
0.45,74,32,5
0.45,75,60,4
0.45,76,101,0
0.45,77,76,3
0.45,78,101,1
0.45,79,75,7
0.45,80,101,0
0.45,81,80,9
0.45,82,67,2
0.45,83,101,1
0.45,84,101,0
0.45,85,8,3
0.45,86,63,4
0.45,87,101,0
0.45,88,101,4
0.45,89,101,0
0.45,90,67,2
0.45,91,12,5
0.45,92,34,4
0.45,93,101,0
0.45,94,37,1
0.45,95,59,2
0.45,96,101,0
0.45,97,21,4
0.45,98,101,0
0.45,99,101,1
0.45,100,47,0
0.5,1,56,0
0.5,2,75,4
0.5,3,68,3
0.5,4,101,3
0.5,5,101,0
0.5,6,26,2
0.5,7,93,6
0.5,8,101,0
0.5,9,101,0
0.5,10,45,3
0.5,11,94,0
0.5,12,77,0
0.5,13,97,4
0.5,14,57,1
0.5,15,101,0
0.5,16,101,3
0.5,17,76,2
0.5,18,101,0
0.5,19,47,5
0.5,20,44,4
0.5,21,101,0
0.5,22,101,0
0.5,23,76,3
0.5,24,93,1
0.5,25,101,0
0.5,26,82,3
0.5,27,101,0
0.5,28,76,7
0.5,29,101,0
0.5,30,15,5
0.5,31,41,2
0.5,32,101,0
0.5,33,13,1
0.5,34,59,2
0.5,35,10,6
0.5,36,99,1
0.5,37,13,6
0.5,38,101,0
0.5,39,46,3
0.5,40,101,5
0.5,41,101,0
0.5,42,62,1
0.5,43,63,1
0.5,44,101,0
0.5,45,84,4
0.5,46,15,1
0.5,47,6,0
0.5,48,31,1
0.5,49,101,0
0.5,50,101,1
0.5,51,101,0
0.5,52,22,5
0.5,53,101,0
0.5,54,90,1
0.5,55,101,0
0.5,56,39,3
0.5,57,101,0
0.5,58,48,6
0.5,59,45,2
0.5,60,101,1
0.5,61,94,2
0.5,62,37,1
0.5,63,42,0
0.5,64,101,0
0.5,65,68,4
0.5,66,46,2
0.5,67,45,4
0.5,68,101,0
0.5,69,37,6
0.5,70,101,0
0.5,71,101,4
0.5,72,100,4
0.5,73,77,7
0.5,74,48,3
0.5,75,48,5
0.5,76,38,2
0.5,77,47,3
0.5,78,57,2
0.5,79,68,1
0.5,80,101,0
0.5,81,101,0
0.5,82,41,2
0.5,83,44,4
0.5,84,65,3
0.5,85,92,2
0.5,86,101,0
0.5,87,53,4
0.5,88,101,0
0.5,89,38,1
0.5,90,69,4
0.5,91,67,7
0.5,92,101,0
0.5,93,101,0
0.5,94,101,0
0.5,95,101,0
0.5,96,55,5
0.5,97,65,2
0.5,98,101,0
0.5,99,101,0
0.5,100,101,0
0.55,1,101,1
0.55,2,75,1
0.55,3,101,0
0.55,4,101,0
0.55,5,101,0
0.55,6,101,0
0.55,7,101,0
0.55,8,101,1
0.55,9,101,0
0.55,10,101,0
0.55,11,101,0
0.55,12,101,0
0.55,13,39,2
0.55,14,101,0
0.55,15,86,2
0.55,16,101,0
0.55,17,101,4
0.55,18,45,3
0.55,19,98,1
0.55,20,101,0
0.55,21,101,0
0.55,22,35,2
0.55,23,44,2
0.55,24,53,5
0.55,25,101,0
0.55,26,20,1
0.55,27,31,8
0.55,28,19,3
0.55,29,100,7
0.55,30,101,0
0.55,31,88,2
0.55,32,41,3
0.55,33,29,1
0.55,34,24,5
0.55,35,29,1
0.55,36,101,0
0.55,37,101,0
0.55,38,24,2
0.55,39,89,1
0.55,40,101,0
0.55,41,97,4
0.55,42,101,0
0.55,43,81,2
0.55,44,101,0
0.55,45,101,0
0.55,46,54,4
0.55,47,60,3
0.55,48,80,3
0.55,49,101,0
0.55,50,59,1
0.55,51,101,0
0.55,52,101,0
0.55,53,30,1
0.55,54,69,3
0.55,55,31,10
0.55,56,59,0
0.55,57,101,1
0.55,58,60,3
0.55,59,47,2
0.55,60,101,0
0.55,61,101,0
0.55,62,46,7
0.55,63,91,3
0.55,64,101,0
0.55,65,101,6
0.55,66,72,4
0.55,67,101,1
0.55,68,101,0
0.55,69,101,1
0.55,70,101,0
0.55,71,5,2
0.55,72,11,3
0.55,73,52,4
0.55,74,101,0
0.55,75,21,1
0.55,76,23,5
0.55,77,101,0
0.55,78,61,1
0.55,79,101,0
0.55,80,101,0
0.55,81,82,1
0.55,82,72,2
0.55,83,17,3
0.55,84,74,3
0.55,85,96,2
0.55,86,14,1
0.55,87,101,0
0.55,88,101,1
0.55,89,101,0
0.55,90,101,4
0.55,91,84,1
0.55,92,101,0
0.55,93,37,7
0.55,94,25,8
0.55,95,97,9
0.55,96,101,0
0.55,97,85,4
0.55,98,70,1
0.55,99,101,0
0.55,100,67,12
